s,a,dt,r,z,time_j
1,1,3,2,651,3
1,1,3,6,645,6
1,1,3,7,637,9
1,1,3,18,627,12
1,1,3,13,608,15
1,1,3,20,593,18
1,1,3,21,570,21
1,1,3,21,548,24
1,1,3,15,525,27
1,1,3,23,509,30
1,1,3,15,486,33
1,1,3,15,468,36
1,1,3,15,452,39
1,1,3,18,436,42
1,1,3,12,402,45
1,1,3,6,267,48
1,1,3,2,139,51
1,1,3,0,56,54
1,2,3,5,654,3
1,2,3,12,646,6
1,2,3,22,630,9
1,2,3,24,607,12
1,2,3,15,580,15
1,2,3,27,565,18
1,2,3,22,535,21
1,2,3,22,510,24
1,2,3,16,488,27
1,2,3,28,470,30
1,2,3,17,441,33
1,2,3,21,424,36
1,2,3,18,402,39
1,2,3,21,383,42
1,2,3,24,340,45
1,2,3,8,218,48
1,2,3,1,107,51
1,2,3,1,37,54
1,2,3,0,6,57
2,1,6,7,574,6
2,1,6,13,559,12
2,1,6,26,535,18
2,1,6,27,498,24
2,1,6,18,457,30
2,1,6,23,427,36
2,1,6,21,396,42
2,1,6,12,316,48
2,1,6,2,120,54
2,1,6,1,17,60
2,2,6,7,576,6
2,2,6,23,548,12
2,2,6,25,511,18
2,2,6,36,468,24
2,2,6,34,404,30
2,2,6,30,363,36
2,2,6,25,322,42
2,2,6,15,232,48
2,2,6,5,80,54
2,2,6,0,4,60
3,1,12,20,397,12
3,1,12,43,366,24
3,1,12,43,314,36
3,1,12,33,245,48
3,1,12,28,155,60
3,1,12,9,67,72
3,1,12,9,28,84
3,1,12,0,7,96
3,2,12,29,393,12
3,2,12,66,352,24
3,2,12,58,287,36
3,2,12,27,198,48
3,2,12,20,126,60
3,2,12,7,45,72
3,2,12,2,21,84
4,1,6,1,309,6
4,1,6,9,306,12
4,1,6,7,295,18
4,1,6,11,289,24
4,1,6,5,270,30
4,1,6,9,201,36
4,1,6,6,135,42
4,1,6,3,87,48
4,2,6,1,313,6
4,2,6,12,310,12
4,2,6,13,296,18
4,2,6,22,281,24
4,2,6,17,249,30
4,2,6,13,176,36
4,2,6,5,118,42
4,2,6,5,73,48
5,1,6,3,249,6
5,1,6,8,241,12
5,1,6,14,235,18
5,1,6,12,220,24
5,1,6,7,203,30
5,1,6,7,135,36
5,1,6,4,56,42
5,1,6,0,13,48
5,2,6,2,254,6
5,2,6,5,252,12
5,2,6,8,246,18
5,2,6,17,238,24
5,2,6,9,210,30
5,2,6,9,139,36
5,2,6,0,54,42
5,2,6,2,19,48
6,1,12,11,192,12
6,1,12,28,175,24
6,1,12,26,145,36
6,1,12,13,119,48
6,1,12,11,102,60
6,1,12,13,87,72
6,1,12,9,72,84
6,2,12,15,193,12
6,2,12,25,171,24
6,2,12,30,148,36
6,2,12,22,116,48
6,2,12,15,94,60
6,2,12,11,76,72
6,2,12,4,61,84
7,1,3,11,597,3
7,1,3,6,580,6
7,1,3,10,565,9
7,1,3,10,551,12
7,1,3,18,529,15
7,1,3,23,509,18
7,1,3,27,479,21
7,1,3,21,450,24
7,1,3,16,425,27
7,1,3,17,406,30
7,1,3,16,389,33
7,1,3,20,373,36
7,1,3,17,351,39
7,1,3,14,332,42
7,1,3,12,311,45
7,1,3,11,286,48
7,1,3,9,240,51
7,1,3,8,185,54
7,1,3,6,124,57
7,1,3,1,77,60
7,1,3,0,40,63
7,2,3,6,602,3
7,2,3,13,585,6
7,2,3,23,552,9
7,2,3,20,519,12
7,2,3,30,492,15
7,2,3,23,453,18
7,2,3,39,416,21
7,2,3,19,379,24
7,2,3,24,352,27
7,2,3,21,325,30
7,2,3,24,299,33
7,2,3,18,227,36
7,2,3,7,132,39
7,2,3,1,65,42
7,2,3,0,26,45
7,2,3,0,1,48
8,1,12,23,589,12
8,1,12,73,556,24
8,1,12,73,480,36
8,1,12,49,334,48
8,1,12,28,207,60
8,1,12,11,101,72
8,2,12,31,583,12
8,2,12,60,541,24
8,2,12,60,470,36
8,2,12,33,340,48
8,2,12,24,230,60
8,2,12,12,111,72
9,1,12,26,957,12
9,1,12,63,909,24
9,1,12,60,806,36
9,1,12,30,491,48
9,2,12,38,960,12
9,2,12,88,917,24
9,2,12,83,840,36
9,2,12,42,541,48
10,1,12,26,362,12
10,1,12,56,328,24
10,1,12,37,273,36
10,1,12,30,229,48
10,1,12,25,192,60
10,1,12,15,147,72
10,1,12,14,90,84
10,1,12,21,55,96
10,1,12,9,28,108
10,2,12,66,724,12
10,2,12,125,648,24
10,2,12,96,517,36
10,2,12,92,413,48
10,2,12,53,317,60
10,2,12,34,211,72
10,2,12,8,135,84
10,2,12,9,79,96
10,2,12,4,46,108
11,1,12,12,377,12
11,1,12,31,358,24
11,1,12,35,320,36
11,1,12,20,278,48
11,2,12,8,189,12
11,2,12,11,175,24
11,2,12,11,158,36
11,2,12,11,139,48
12,1,6,6,525,6
12,1,6,21,513,12
12,1,6,31,489,18
12,1,6,25,452,24
12,1,6,32,425,30
12,1,6,28,394,36
12,1,6,19,362,42
12,1,6,6,227,48
12,1,6,0,52,54
12,2,6,12,527,6
12,2,6,26,510,12
12,2,6,40,474,18
12,2,6,53,436,24
12,2,6,33,374,30
12,2,6,35,339,36
12,2,6,25,301,42
12,2,6,8,181,48
12,2,6,5,43,54
13,1,12,1,36,12
13,1,12,4,34,24
13,1,12,2,21,36
13,1,12,1,9,48
13,1,12,0,3,60
13,2,12,4,35,12
13,2,12,9,25,24
13,2,12,3,14,36
13,2,12,2,4,48
